漢字番号,連番,漢字,1文字抽出,音訓,文字1,読み1,文字２,読み２,文字３,読み3,文字1,文字2,文字3,備考（文化庁の元データの備考）
1,1,亜(亞),亜,ア,亜流,ありゅう,亜麻,あま,亜熱帯,あねったい,亜流(ありゅう),亜麻(あま),亜熱帯(あねったい),
2,2,哀,哀,アイ,哀愁,あいしゅう,哀願,あいがん,悲哀,ひあい,哀愁(あいしゅう),哀願(あいがん),悲哀(ひあい),
2,3,哀,哀,あわれ,哀れ,あわれ,哀れな話,あわれなはなし,哀れがる,あわれがる,哀れ(あわれ),哀れな話(あわれなはなし),哀れがる(あわれがる),
2,4,哀,哀,あわれむ,哀れむ,あわれむ,,,,,哀れむ(あわれむ),,,
3,5,握,握,アク,握手,あくしゅ,握力,あくりょく,掌握,しょうあく,握手(あくしゅ),握力(あくりょく),掌握(しょうあく),
3,6,握,握,にぎる,握る,にぎる,握り,にぎり,一握り,ひとにぎり,握る(にぎる),握り(にぎり),一握り(ひとにぎり),
4,7,扱,扱,あつかう,扱う,あつかう,扱い,あつかい,客扱い,きゃくあつかい,扱う(あつかう),扱い(あつかい),客扱い(きゃくあつかい),
5,8,依,依,イ,依頼,いらい,依拠,いきょ,依然,いぜん,依頼(いらい),依拠(いきょ),依然(いぜん),
5,9,依,依,エ,帰依,きえ,,,,,帰依(きえ),,,
6,10,威,威,イ,威力,いりょく,威圧,いあつ,示威,じい,威力(いりょく),威圧(いあつ),示威(じい),
7,11,為(爲),為,イ,為政者,いせいしゃ,行為,こうい,作為,さくい,為政者(いせいしゃ),行為(こうい),作為(さくい),為替(かわせ)
8,12,尉,尉,イ,尉官,いかん,一尉,いちい,大尉,たいい,尉官(いかん),一尉(いちい),大尉(たいい),
9,13,偉,偉,イ,偉大,いだい,偉人,いじん,偉観,いかん,偉大(いだい),偉人(いじん),偉観(いかん),
9,14,偉,偉,えらい,偉い,えらい,,,,,偉い(えらい),,,
10,15,違,違,イ,違反,いはん,違法,いほう,相違,そうい,違反(いはん),違法(いほう),相違(そうい),
10,16,違,違,ちがう,違う,ちがう,違い,ちがい,間違う,まちがう,違う(ちがう),違い(ちがい),間違う(まちがう),
10,17,違,違,ちがえる,違える,ちがえる,見違える,みちがえる,間違える,まちがえる,違える(ちがえる),見違える(みちがえる),間違える(まちがえる),
11,18,維,維,イ,維持,いじ,維新,いしん,繊維,せんい,維持(いじ),維新(いしん),繊維(せんい),
12,19,慰,慰,イ,慰安,いあん,慰問,いもん,慰労,いろう,慰安(いあん),慰問(いもん),慰労(いろう),
12,20,慰,慰,なぐさめる,慰める,なぐさめる,,,,,慰める(なぐさめる),,,
12,21,慰,慰,なぐさむ,慰む,なぐさむ,,,,,慰む(なぐさむ),,,
13,22,緯,緯,イ,緯度,いど,北緯,ほくい,経緯,けいい,緯度(いど),北緯(ほくい),経緯(けいい),
14,23,壱(壹),壱,イチ,壱万円,いちまんえん,,,,,壱万円(いちまんえん),,,
15,24,逸(),逸,イツ,逸話,いつわ,逸品,いっぴん,逸する,いっする,逸話(いつわ),逸品(いっぴん),逸する(いっする),
